temperature,precipitation,humidity,WindSpeed,DaylightHours,pressure,weather
29.1,0,40,3.1,1,1003.8,2
29.5,0,41,5.3,1,1003,2
29.2,0,43,6.6,1,1002.5,2
28.4,0,44,6.3,1,1002.3,2
26.7,0,48,6.6,1,1002.2,2
24.6,0,52,6.3,0.5,1002.6,4
22.1,0,57,3.8,0.3,1003.7,4
19.7,0,59,4.8,0,1005,4
18.2,0,62,5.5,0,1006.1,4
17.4,0,63,7.5,0,1006.5,4
16.8,0,64,5.2,0,1006.6,4
17,0,66,4,0,1006.7,4
15.9,0,69,4.9,0,1006.2,4
15.5,0,71,7.6,0,1005.9,10
15.2,0,74,3.6,0,1005.6,4
15.4,0,77,3.2,0,1005.3,4
15.3,0,76,4.1,0,1004.9,4
15.1,0,80,4.1,0,1004.8,10
15.2,0,80,3.5,0,1005,4
15.4,0,83,4.9,0,1005.2,10
15.7,1,83,3.3,0,1004.9,10
16.6,0,80,3.5,0,1004.6,10
17.2,0,80,4.3,0,1004,10
18.7,0,75,4.3,0,1003.6,4
18.3,0,78,2,0,1004.1,10
17.4,0.5,87,0.7,0,1004.2,4
16.8,1.5,95,1.9,0,1003.9,10
18.1,0,88,2,0,1003.9,4
18.5,0,84,1.1,0,1004.1,4
18.6,0,84,1.4,0.3,1004,2
18.8,0,82,1.3,0,1004.6,10
18.5,0,86,1.2,0,1005.5,4
18.3,0,85,2.1,0,1006.4,4
18,0,64,4.1,0,1006.8,2
16.1,0,89,1.1,0,1007.4,2
15.2,0,87,1.5,0,1007.8,2
15.1,0,83,1.8,0,1007.8,2
14.6,0,89,1.9,0,1008.1,2
15.4,0,80,1.7,0,1008.4,4
14.7,0,86,1.8,0,1008.7,2
14.7,0,82,3.3,0,1009.1,2
14.4,0,84,3.1,0.1,1009.2,2
14.8,0,80,1.9,0.4,1009.7,2
15.6,0,78,1,0.5,1009.8,4
18.4,0,56,2.6,1,1010,2
19.6,0,59,2.4,0.9,1010.3,2
20.5,0,51,5,1,1010.3,2
21.1,0,48,4.5,1,1010,2
21.9,0,46,2.7,1,1009.3,2
22.8,0,44,2.3,1,1008.1,2
24.3,0,42,3.6,1,1007.8,2
24,0,42,2.9,1,1007.3,2
23.8,0,43,2.9,0.7,1007,4
23.5,0,45,1.3,1,1007,2
22.6,0,48,1.5,0.3,1007,4
20.5,0,59,0.9,0,1007.1,4
19.4,0,65,1,0,1007.5,4
18.2,0,75,1.3,0,1008.1,4
17.2,0,78,0.6,0,1008.2,4
16.3,0,82,0.3,0,1008.1,2
14.8,0,89,1,0,1008.2,2
14.7,0,90,0.4,0,1008.6,2
14.1,0,89,1,0,1008.6,2
13.5,0,87,0.6,0,1008.9,2
12.9,0,93,0.6,0,1009.2,2
12.9,0,93,0.6,0.1,1009.8,2
14.3,0,88,0.8,1,1009.8,2
15.4,0,80,0.8,1,1009.8,2
17.5,0,75,1.1,1,1009.2,2
19.8,0,65,1.3,1,1008.6,2
22,0,62,1.5,1,1007.5,2
24.1,0,56,2.2,1,1006.7,2
26.9,0,40,2.4,1,1006,2
27.7,0,36,2.5,1,1005,2
27.7,0,36,1.3,1,1004.3,2
28.3,0,35,2.9,0.7,1004.1,4
27.7,0,36,4.6,0.9,1004.1,2
25.8,0,42,5.3,0.9,1004.6,2
24.2,0,48,4.1,0.3,1005.3,2
22.5,0,57,4.8,0,1006.5,4
21.2,0,65,4.8,0,1007.8,4
20.5,0,68,3.1,0,1008.6,4
19.6,0,74,1.5,0,1008.5,2
17.6,0,83,1.7,0,1008.2,2
17.6,0,84,1.2,0,1008.2,2
16.8,0,88,1,0,1007.9,2
16.6,0,87,0.3,0,1008,4
16.4,0,87,1.1,0,1008,4
15.6,0,91,1,0,1008.3,4
15.2,0,91,0.7,0,1008.7,4
15.8,0,88,0.4,0,1009.4,4
18.1,0,78,0.4,0.8,1009,2
19.9,0,71,1.7,1,1008.8,2
21.4,0,62,2.7,1,1008.3,2
22.2,0,59,2.4,0.5,1007.8,4
22.5,0,52,1.5,0.4,1007.1,4
18.3,0,75,5.4,0.1,1008.5,10
